year,population,birth_rate,death_rate,net_growth,births,deaths,events
106,2871214.383555209,50.0,40.0,10.000000000000002,143560.71917776045,114848.57534220835,
107,2899926.5273907613,50.0,40.0,10.000000000000002,144996.32636953806,115997.06109563046,
108,2928925.792664669,50.0,40.0,10.000000000000002,146446.28963323345,117157.03170658676,
109,2958215.0505913156,50.0,40.0,10.000000000000002,147910.7525295658,118328.60202365262,
110,2987797.2010972286,50.0,40.0,10.000000000000002,149389.86005486143,119511.88804388915,
111,3017675.1731082005,50.0,40.0,10.000000000000002,150883.75865541003,120707.00692432803,
112,3047851.924839283,50.0,40.0,10.000000000000002,152392.59624196414,121914.07699357132,
113,3078330.444087676,50.0,40.0,10.000000000000002,153916.5222043838,123133.21776350704,
114,3109113.7485285522,50.0,40.0,10.000000000000002,155455.6874264276,124364.54994114209,
115,3140204.8860138375,50.0,40.0,10.000000000000002,157010.24430069188,125608.1954405535,
116,3171606.934873976,50.0,40.0,10.000000000000002,158580.3467436988,126864.27739495903,
117,3203323.0042227153,50.0,40.0,10.000000000000002,160166.15021113577,128132.92016890862,
118,3235356.2342649424,50.0,40.0,10.000000000000002,161767.81171324712,129414.2493705977,
119,3267709.7966075917,50.0,40.0,10.000000000000002,163385.4898303796,130708.39186430367,
120,3300386.894573668,50.0,40.0,10.000000000000002,165019.3447286834,132015.4757829467,
121,3333390.763519405,50.0,40.0,10.000000000000002,166669.53817597026,133335.6305407762,
122,3366724.671154599,50.0,40.0,10.000000000000002,168336.23355772998,134668.98684618398,
123,3400391.9178661453,50.0,40.0,10.000000000000002,170019.59589330727,136015.67671464582,
124,3434395.8370448067,50.0,40.0,10.000000000000002,171719.79185224033,137375.83348179227,
125,3468739.795415255,50.0,40.0,10.000000000000002,173436.98977076274,138749.5918166102,
126,3503427.193369407,50.0,40.0,10.000000000000002,175171.35966847037,140137.0877347763,
127,3538461.4653031016,50.0,40.0,10.000000000000002,176923.07326515508,141538.45861212406,
128,3573846.0799561325,50.0,40.0,10.000000000000002,178692.30399780662,142953.8431982453,
129,3609584.540755694,50.0,40.0,10.000000000000002,180479.2270377847,144383.38163022776,
130,3645680.3861632505,50.0,40.0,10.000000000000002,182284.01930816253,145827.21544653003,
131,3682137.190024883,50.0,40.0,10.000000000000002,184106.85950124415,147285.48760099532,
132,3718958.561925132,50.0,40.0,10.000000000000002,185947.9280962566,148758.34247700527,
133,3756148.147544383,50.0,40.0,10.000000000000002,187807.40737721918,150245.92590177534,
134,3793709.629019827,50.0,40.0,10.000000000000002,189685.48145099136,151748.38516079308,
135,3831646.7253100253,50.0,40.0,10.000000000000002,191582.33626550128,153265.869012401,
136,3869963.1925631254,50.0,40.0,10.000000000000002,193498.15962815628,154798.52770252503,
137,3908662.8244887562,50.0,40.0,10.000000000000002,195433.14122443783,156346.51297955026,
138,3947749.452733644,50.0,40.0,10.000000000000002,197387.4726366822,157909.97810934574,
139,3987226.9472609805,50.0,40.0,10.000000000000002,199361.34736304905,159489.07789043922,
140,4027099.2167335902,50.0,40.0,10.000000000000002,201354.96083667953,161083.96866934362,
141,4067370.2089009257,50.0,40.0,10.000000000000002,203368.5104450463,162694.80835603704,
142,4108043.910989935,50.0,40.0,10.000000000000002,205402.19554949677,164321.7564395974,
143,4149124.3500998346,50.0,40.0,10.000000000000002,207456.21750499174,165964.97400399338,
144,4190615.5936008333,50.0,40.0,10.000000000000002,209530.77968004168,167624.62374403334,
145,4232521.749536842,50.0,40.0,10.000000000000002,211626.0874768421,169300.8699814737,
146,4274846.967032211,50.0,40.0,10.000000000000002,213742.34835161056,170993.87868128845,
147,4317595.436702534,50.0,40.0,10.000000000000002,215879.77183512668,172703.81746810136,
148,4360771.391069559,50.0,40.0,10.000000000000002,218038.56955347798,174430.85564278238,
149,4404379.104980255,50.0,40.0,10.000000000000002,220218.95524901274,176175.16419921018,
150,4448422.896030057,50.0,40.0,10.000000000000002,222421.14480150287,177936.91584120228,
151,4492907.124990358,50.0,40.0,10.000000000000002,224645.3562495179,179716.28499961432,
152,4537836.196240261,50.0,40.0,10.000000000000002,226891.80981201306,181513.44784961044,
153,4583214.558202663,50.0,40.0,10.000000000000002,229160.7279101332,183328.58232810654,
154,4629046.70378469,50.0,40.0,10.000000000000002,231452.33518923452,185161.8681513876,
155,4675337.1708225375,50.0,40.0,10.000000000000002,233766.8585411269,187013.48683290152,
156,4722090.542530763,50.0,40.0,10.000000000000002,236104.52712653816,188883.62170123053,
157,4769311.447956071,50.0,40.0,10.000000000000002,238465.57239780357,190772.45791824284,
158,4817004.562435633,50.0,40.0,10.000000000000002,240850.22812178163,192680.1824974253,
159,4865174.608059989,50.0,40.0,10.000000000000002,243258.73040299947,194606.98432239957,
160,4913826.354140589,50.0,40.0,10.000000000000002,245691.31770702946,196553.05416562356,
161,4962964.617681995,50.0,40.0,10.000000000000002,248148.23088409976,198518.5847072798,
162,5012594.263858815,50.0,40.0,10.000000000000002,250629.71319294075,200503.77055435258,
163,5062720.206497403,50.0,40.0,10.000000000000002,253136.01032487015,202508.80825989612,
164,5113347.408562377,50.0,40.0,10.000000000000002,255667.37042811885,204533.89634249508,
165,5164480.8826480005,50.0,40.0,10.000000000000002,258224.04413240004,206579.23530592,
166,5216125.691474481,50.0,40.0,10.000000000000002,260806.28457372403,208645.02765897923,
167,5268286.948389226,50.0,40.0,10.000000000000002,263414.3474194613,210731.47793556904,
168,5320969.8178731175,50.0,40.0,10.000000000000002,266048.49089365586,212838.7927149247,
169,5374179.516051848,50.0,40.0,10.000000000000002,268708.9758025924,214967.18064207394,
170,5427921.311212366,50.0,40.0,10.000000000000002,271396.06556061836,217116.85244849467,
171,5482200.52432449,50.0,40.0,10.000000000000002,274110.0262162245,219288.0209729796,
172,5537022.529567735,50.0,40.0,10.000000000000002,276851.12647838675,221480.9011827094,
173,5592392.754863413,50.0,40.0,10.000000000000002,279619.63774317066,223695.7101945365,
174,5648316.682412047,50.0,40.0,10.000000000000002,282415.83412060235,225932.66729648187,
175,5704799.849236167,50.0,40.0,10.000000000000002,285239.9924618084,228191.9939694467,
176,5761847.847728528,50.0,40.0,10.000000000000002,288092.3923864264,230473.91390914112,
177,5819466.326205813,50.0,40.0,10.000000000000002,290973.31631029065,232778.65304823255,
178,5877660.989467871,50.0,40.0,10.000000000000002,293883.0494733936,235106.43957871487,
179,5936437.59936255,50.0,40.0,10.000000000000002,296821.8799681275,237457.503974502,
180,5995801.975356176,50.0,40.0,10.000000000000002,299790.0987678088,239832.07901424702,
181,6055759.995109737,50.0,40.0,10.000000000000002,302787.99975548685,242230.39980438948,
182,6116317.595060835,50.0,40.0,10.000000000000002,305815.8797530417,244652.7038024334,
183,6177480.771011443,50.0,40.0,10.000000000000002,308874.0385505722,247099.23084045772,
184,6239255.578721558,50.0,40.0,10.000000000000002,311962.7789360779,249570.2231488623,
185,6301648.134508774,50.0,40.0,10.000000000000002,315082.4067254387,252065.92538035096,
186,6364664.615853861,50.0,40.0,10.000000000000002,318233.2307926931,254586.58463415445,
187,6428311.2620124,50.0,40.0,10.000000000000002,321415.56310062,257132.450480496,
188,6492594.374632524,50.0,40.0,10.000000000000002,324629.7187316262,259703.774985301,
189,6557520.318378849,50.0,40.0,10.000000000000002,327876.01591894246,262300.81273515394,
190,6623095.521562637,50.0,40.0,10.000000000000002,331154.77607813186,264923.82086250547,
191,6689326.476778263,50.0,40.0,10.000000000000002,334466.3238389132,267573.0590711305,
192,6756219.741546046,50.0,40.0,10.000000000000002,337810.9870773023,270248.7896618418,
193,6823781.938961507,50.0,40.0,10.000000000000002,341189.09694807534,272951.27755846025,
194,6892019.758351122,50.0,40.0,10.000000000000002,344600.98791755614,275680.7903340449,
195,6960939.9559346335,50.0,40.0,10.000000000000002,348046.9977967317,278437.59823738533,
196,7030549.35549398,50.0,40.0,10.000000000000002,351527.46777469903,281221.9742197592,
197,7100854.849048921,50.0,40.0,10.000000000000002,355042.7424524461,284034.19396195683,
198,7171863.397539411,50.0,40.0,10.000000000000002,358593.1698769706,286874.53590157646,
199,7243582.031514805,50.0,40.0,10.000000000000002,362179.10157574026,289743.2812605922,
200,7316017.8518299535,50.0,40.0,10.000000000000002,365800.8925914977,292640.71407319815,
201,7389178.030348253,50.0,40.0,10.000000000000002,369458.9015174127,295567.12121393014,
202,7463069.810651736,50.0,40.0,10.000000000000002,373153.4905325868,298522.79242606944,
203,7537700.508758253,50.0,40.0,10.000000000000002,376885.02543791267,301508.02035033016,
204,7613077.513845836,50.0,40.0,10.000000000000002,380653.8756922918,304523.1005538334,
205,7689208.288984295,50.0,40.0,10.000000000000002,384460.41444921476,307568.3315593718,
206,7766100.371874138,50.0,40.0,10.000000000000002,388305.0185937069,310644.01487496553,
207,7843761.375592879,50.0,40.0,10.000000000000002,392188.068779644,313750.45502371516,
208,7922198.989348807,50.0,40.0,10.000000000000002,396109.94946744037,316887.9595739523,
209,8001420.979242295,50.0,40.0,10.000000000000002,400071.0489621148,320056.8391696918,
210,8081435.189034717,50.0,40.0,10.000000000000002,404071.7594517359,323257.4075613887,
211,8162249.540925064,50.0,40.0,10.000000000000002,408112.4770462532,326489.98163700255,
212,8243872.036334315,50.0,40.0,10.000000000000002,412193.6018167158,329754.8814533726,
213,8326310.756697658,50.0,40.0,10.000000000000002,416315.53783488297,333052.43026790634,
214,8409573.864264635,50.0,40.0,10.000000000000002,420478.6932132318,336382.9545705854,
215,8493669.602907281,50.0,40.0,10.000000000000002,424683.48014536407,339746.78411629127,
216,8578606.298936356,50.0,40.0,10.000000000000002,428930.3149468178,343144.25195745425,
217,8664392.36192572,50.0,40.0,10.000000000000002,433219.61809628597,346575.6944770288,
218,8751036.285544977,50.0,40.0,10.000000000000002,437551.81427724886,350041.4514217991,
219,8838546.648400426,50.0,40.0,10.000000000000002,441927.3324200213,353541.8659360171,
220,8926932.11488443,50.0,40.0,10.000000000000002,446346.60574422154,357077.2845953772,
221,9016201.436033275,50.0,40.0,10.000000000000002,450810.0718016638,360648.057441331,
222,9106363.450393608,50.0,40.0,10.000000000000002,455318.1725196804,364254.5380157443,
223,9197427.084897544,50.0,40.0,10.000000000000002,459871.35424487724,367897.0833959018,
224,9289401.355746519,50.0,40.0,10.000000000000002,464470.06778732594,371576.0542298608,
225,9382295.369303985,50.0,40.0,10.000000000000002,469114.7684651993,375291.8147721594,
226,9476118.322997024,50.0,40.0,10.000000000000002,473805.9161498512,379044.732919881,
227,9570879.506226994,50.0,40.0,10.000000000000002,478543.9753113497,382835.18024907977,
228,9666588.301289264,50.0,40.0,10.000000000000002,483329.4150644632,386663.5320515706,
229,9763254.184302157,50.0,40.0,10.000000000000002,488162.70921510784,390530.16737208626,
230,9860886.726145178,50.0,40.0,10.000000000000002,493044.3363072589,394435.46904580714,
231,9959495.59340663,50.0,40.0,10.000000000000002,497974.77967033157,398379.82373626524,
232,10059090.549340697,50.0,40.0,10.000000000000002,502954.5274670349,402363.6219736279,
233,10159681.454834104,50.0,40.0,10.000000000000002,507984.0727417052,406387.25819336413,
234,10261278.269382445,50.0,40.0,10.000000000000002,513063.91346912226,410451.1307752978,
235,10363891.05207627,50.0,40.0,10.000000000000002,518194.5526038136,414555.64208305086,
236,10467529.962597033,50.0,40.0,10.000000000000002,523376.49812985165,418701.19850388134,
237,10572205.262223003,50.0,40.0,10.000000000000002,528610.2631111502,422888.21048892016,
238,10677927.314845232,50.0,40.0,10.000000000000002,533896.3657422616,427117.0925938093,
239,10784706.587993685,50.0,40.0,10.000000000000002,539235.3293996843,431388.2635197474,
240,10892553.653873622,50.0,40.0,10.000000000000002,544627.6826936811,435702.1461549449,
241,11001479.190412357,50.0,40.0,10.000000000000002,550073.9595206178,440059.1676164943,
242,11111493.982316481,50.0,40.0,10.000000000000002,555574.6991158241,444459.75929265923,
243,11222608.922139646,50.0,40.0,10.000000000000002,561130.4461069823,448904.3568855859,
244,11334835.011361042,50.0,40.0,10.000000000000002,566741.7505680522,453393.40045444167,
245,11448183.361474654,50.0,40.0,10.000000000000002,572409.1680737328,457927.3344589862,
246,11562665.1950894,50.0,40.0,10.000000000000002,578133.25975447,462506.607803576,
247,11678291.847040294,50.0,40.0,10.000000000000002,583914.5923520147,467131.6738816118,
248,11795074.765510697,50.0,40.0,10.000000000000002,589753.7382755348,471802.9906204279,
249,11913025.513165804,50.0,40.0,10.000000000000002,595651.2756582903,476521.02052663214,
250,12032155.768297462,50.0,40.0,10.000000000000002,601607.7884148731,481286.23073189845,
251,12152477.325980436,50.0,40.0,10.000000000000002,607623.8662990219,486099.09303921746,
252,12274002.09924024,50.0,40.0,10.000000000000002,613700.104962012,490960.0839696096,
253,12396742.120232642,50.0,40.0,10.000000000000002,619837.1060116321,495869.6848093057,
254,12520709.54143497,50.0,40.0,10.000000000000002,626035.4770717485,500828.3816573988,
255,12645916.63684932,50.0,40.0,10.000000000000002,632295.831842466,505836.6654739728,
256,12772375.803217812,50.0,40.0,10.000000000000002,638618.7901608907,510895.03212871245,
257,12900099.56124999,50.0,40.0,10.000000000000002,645004.9780624995,516003.9824499996,
258,13029100.55686249,50.0,40.0,10.000000000000002,651455.0278431246,521164.02227449964,
259,13159391.562431116,50.0,40.0,10.000000000000002,657969.5781215559,526375.6624972447,
260,13290985.478055427,50.0,40.0,10.000000000000002,664549.2739027714,531639.4191222171,
261,13423895.332835982,50.0,40.0,10.000000000000002,671194.7666417991,536955.8133134393,
262,13558134.286164341,50.0,40.0,10.000000000000002,677906.7143082172,542325.3714465736,
263,13693715.629025985,50.0,40.0,10.000000000000002,684685.7814512993,547748.6251610394,
264,13830652.785316246,50.0,40.0,10.000000000000002,691532.6392658124,553226.1114126499,
265,13968959.313169409,50.0,40.0,10.000000000000002,698447.9656584705,558758.3725267764,
266,14108648.906301104,50.0,40.0,10.000000000000002,705432.4453150552,564345.9562520442,
267,14249735.395364115,50.0,40.0,10.000000000000002,712486.7697682058,569989.4158145646,
268,14392232.749317758,50.0,40.0,10.000000000000002,719611.6374658879,575689.3099727103,
269,14536155.076810936,50.0,40.0,10.000000000000002,726807.7538405468,581446.2030724374,
270,14681516.627579045,50.0,40.0,10.000000000000002,734075.8313789523,587260.6651031618,
271,14828331.793854835,50.0,40.0,10.000000000000002,741416.5896927417,593133.2717541934,
272,14976615.111793382,50.0,40.0,10.000000000000002,748830.7555896691,599064.6044717353,
273,15126381.262911316,50.0,40.0,10.000000000000002,756319.0631455658,605055.2505164527,
274,15277645.07554043,50.0,40.0,10.000000000000002,763882.2537770215,611105.8030216172,
275,15430421.526295835,50.0,40.0,10.000000000000002,771521.0763147918,617216.8610518334,
276,15584725.741558794,50.0,40.0,10.000000000000002,779236.2870779397,623389.0296623518,
277,15740572.998974381,50.0,40.0,10.000000000000002,787028.6499487191,629622.9199589753,
278,15897978.728964126,50.0,40.0,10.000000000000002,794898.9364482063,635919.1491585651,
279,16056958.516253768,50.0,40.0,10.000000000000002,802847.9258126884,642278.3406501507,
280,16217528.101416307,50.0,40.0,10.000000000000002,810876.4050708154,648701.1240566523,
281,16379703.382430471,50.0,40.0,10.000000000000002,818985.1691215236,655188.1352972189,
282,16543500.416254776,50.0,40.0,10.000000000000002,827175.0208127388,661740.016650191,
283,16708935.420417326,50.0,40.0,10.000000000000002,835446.7710208663,668357.416816693,
284,16876024.774621498,50.0,40.0,10.000000000000002,843801.238731075,675040.9909848599,
285,17044785.022367712,50.0,40.0,10.000000000000002,852239.2511183857,681791.4008947085,
286,17215232.872591387,50.0,40.0,10.000000000000002,860761.6436295694,688609.3149036556,
287,17387385.201317303,50.0,40.0,10.000000000000002,869369.2600658652,695495.4080526921,
288,17561259.053330477,50.0,40.0,10.000000000000002,878062.9526665239,702450.3621332191,
289,17736871.643863782,50.0,40.0,10.000000000000002,886843.5821931892,709474.8657545513,
290,17914240.36030242,50.0,40.0,10.000000000000002,895712.018015121,716569.6144120968,
291,18093382.763905443,50.0,40.0,10.000000000000002,904669.1381952722,723735.3105562178,
292,18274316.591544498,50.0,40.0,10.000000000000002,913715.8295772249,730972.66366178,
293,18457059.757459942,50.0,40.0,10.000000000000002,922852.9878729972,738282.3902983977,
294,18641630.35503454,50.0,40.0,10.000000000000002,932081.5177517271,745665.2142013817,
295,18828046.658584885,50.0,40.0,10.000000000000002,941402.3329292443,753121.8663433954,
296,19016327.125170738,50.0,40.0,10.000000000000002,950816.3562585369,760653.0850068295,
297,19206490.396422446,50.0,40.0,10.000000000000002,960324.5198211223,768259.6158568979,
298,19398555.30038667,50.0,40.0,10.000000000000002,969927.7650193336,775942.2120154669,
299,19592540.853390537,50.0,40.0,10.000000000000002,979627.0426695269,783701.6341356215,
300,19788466.261924442,50.0,40.0,10.000000000000002,989423.3130962221,791538.6504769777,
301,19986350.924543686,50.0,40.0,10.000000000000002,999317.5462271844,799454.0369817475,
302,20186214.433789123,50.0,40.0,10.000000000000002,1009310.7216894561,807448.5773515649,
303,20388076.57812701,50.0,40.0,10.000000000000002,1019403.8289063507,815523.0631250804,
304,20591957.34390828,50.0,40.0,10.000000000000002,1029597.867195414,823678.2937563312,
305,20797876.91734736,50.0,40.0,10.000000000000002,1039893.845867368,831915.0766938945,
306,21005855.686520834,50.0,40.0,10.000000000000002,1050292.7843260418,840234.2274608334,
307,21215914.24338604,50.0,40.0,10.000000000000002,1060795.7121693022,848636.5697354417,
308,21428073.3858199,50.0,40.0,10.000000000000002,1071403.669290995,857122.935432796,
309,21642354.1196781,50.0,40.0,10.000000000000002,1082117.705983905,865694.1647871239,
310,21858777.660874877,50.0,40.0,10.000000000000002,1092938.883043744,874351.1064349951,
311,22077365.437483627,50.0,40.0,10.000000000000002,1103868.2718741815,883094.6174993451,
312,22298139.091858465,50.0,40.0,10.000000000000002,1114906.9545929234,891925.5636743386,
313,22521120.48277705,50.0,40.0,10.000000000000002,1126056.0241388527,900844.8193110821,
314,22746331.687604822,50.0,40.0,10.000000000000002,1137316.584380241,909853.2675041929,
315,22973795.00448087,50.0,40.0,10.000000000000002,1148689.7502240434,918951.8001792347,
316,23203532.954525676,50.0,40.0,10.000000000000002,1160176.6477262839,928141.3181810271,
317,23435568.28407093,50.0,40.0,10.000000000000002,1171778.4142035467,937422.7313628373,
318,23669923.96691164,50.0,40.0,10.000000000000002,1183496.198345582,946796.9586764657,
319,23906623.206580758,50.0,40.0,10.000000000000002,1195331.160329038,956264.9282632304,
320,24145689.438646562,50.0,40.0,10.000000000000002,1207284.471932328,965827.5775458625,
321,24387146.33303303,50.0,40.0,10.000000000000002,1219357.3166516514,975485.8533213212,
322,24631017.796363357,50.0,40.0,10.000000000000002,1231550.889818168,985240.7118545343,
